instrumento,mercado,periodo,tipo_calificacion,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,monto,es_oficial
Acción ABC-0000,BVC,2024-Q1,Dividendos,0.0239,0.0261,0.0308,0.0724,0.0203,0.0477,0.0800,0.0176,0.0943,0.0968,0.1250,0.3151,156581,true
Bono Corporativo ABC-0001,COLCAP,2024-Q2,Intereses,0.0760,0.0228,0.0566,0.0500,0.0731,0.0266,0.0088,0.0916,0.0170,0.0169,0.0070,0.5036,42468,false
ETF ABC-0002,BVLIMA,2024-Q3,Capital,0.0533,0.0662,0.0768,0.0053,0.0923,0.0729,0.0381,0.0649,0.0201,0.1361,0.0861,0.2379,191758,false
Fondo Mutuo ABC-0003,MILA,2024-Q4,Mixto,0.0363,0.0285,0.0010,0.0256,0.0956,0.0302,0.0059,0.0530,0.0490,0.1470,0.1285,0.3494,117029,true
Bono Gobierno ABC-0004,BVC,2023-Q1,Renta Fija,0.0249,0.0107,0.0592,0.0170,0.0522,0.0559,0.0239,0.1039,0.0856,0.0577,0.0595,0.3995,36084,false
Acción Preferente ABC-0005,COLCAP,2023-Q2,Renta Variable,0.0591,0.0294,0.0632,0.0194,0.0402,0.0871,0.0399,0.1222,0.0228,0.0726,0.1492,0.2449,103438,false
Warrant ABC-0006,BVLIMA,2023-Q3,Derivados,0.0120,0.0088,0.0804,0.0499,0.0842,0.0707,0.0292,0.0425,0.0755,0.0066,0.0652,0.4250,121254,true
ADR ABC-0007,MILA,2023-Q4,Estructurado,0.0758,0.0001,0.0212,0.0269,0.0639,0.0853,0.0440,0.0265,0.0954,0.1046,0.0297,0.3766,58916,false
REIT ABC-0008,BVC,2024-01,Dividendos,0.0760,0.0382,0.0024,0.0078,0.0321,0.0022,0.0944,0.1289,0.0243,0.0580,0.0126,0.4731,90650,false
Fondo Indexado ABC-0009,COLCAP,2024-02,Intereses,0.0567,0.0278,0.0631,0.0788,0.0247,0.0963,0.0346,0.0193,0.1337,0.0543,0.1387,0.2220,15007,true
Acción XYZ-0010,BVLIMA,2024-03,Capital,0.0181,0.0566,0.0431,0.0516,0.0563,0.0659,0.0401,0.0026,0.0785,0.0574,0.0963,0.3835,51784,false
